sample_id	hto	hash_id	cells_loaded	donor	processing_batch	experiment	chemistry	hto_panel	adt_panel
OCRZ020-A	HTO_01	Control	3000	OCRZ020	KA-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ020-A	HTO_02	1	3000	OCRZ020	KA-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ020-A	HTO_03	2	3000	OCRZ020	KA-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ020-A	HTO_04	3	3000	OCRZ020	KA-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ020-B	HTO_01	Control	3000	OCRZ020	KA-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ020-B	HTO_02	1	3000	OCRZ020	KA-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ020-B	HTO_03	2	3000	OCRZ020	KA-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ020-B	HTO_04	3	3000	OCRZ020	KA-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ020-C	HTO_01	Control	4000	OCRZ020	KA-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ020-C	HTO_02	1	4000	OCRZ020	KA-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
OCRZ020-C	HTO_03	2	4000	OCRZ020	KA-001	CITE-seq	10x 3' Gene Expression v3.1	TotalSeq-A Anti-Human Hashtag	TotalSeq-A Human Universal Cocktail v1.0
